Dia;Descripcion;Comienzo;Fin;Aclaracion
24/12/2019;Others + Actv2;10:40;11:00;
24/12/2019;Others + Actv2;11:00;12:00;
24/12/2019;Actv4;12:00;12:20;
24/12/2019;Actv16;12:20;13:30;
24/12/2019;Actv12;13:30;13:40;
24/12/2019;Actv1;13:40;13:55;
24/12/2019;Others;13:55;14:15;
24/12/2019;Actv1;14:15;14:45;
24/12/2019;Actv13 Actv7;14:45;15:10;
24/12/2019;Others;15:10;15:38;
24/12/2019;Actv11;15:38;16:10;
24/12/2019;Actv1;16:10;17:27;
24/12/2019;Actv13 + Actv7;17:27;18:23;
24/12/2019;Others;18:23;18:50;
24/12/2019;Actv8;18:50;19:00;
24/12/2019;Actv20;19:00;20:05;
24/12/2019;Actv1;20:05;20:25;
24/12/2019;Actv1;20:25;21:15;
24/12/2019;Others;21:15;21:30;
24/12/2019;Actv5;21:30;22:25;
24/12/2019;Actv1;22:25;22:35;
24/12/2019;Actv15 + Others;22:35;00:20;
24/12/2019;Actv2;00:20;01:40;
24/12/2019;Actv1;01:40;02:00;
24/12/2019;Actv1;22:35;02:25;
24/12/2019;Actv1;02:25;03:00;
24/12/2019;Others;03:00;03:20;
25/12/2019;Actv14;12:50;13:05;
25/12/2019;Actv13;13:05;13:12;
25/12/2019;Actv11;13:12;14:20;
25/12/2019;Others + Others;14:20;16:20;
25/12/2019;Others;16:20;18:05;
25/12/2019;Actv17;18:05;19:50;
25/12/2019;Actv12;19:50;21:30;
25/12/2019;Actv8;21:30;12:40;
25/12/2019;Actv12;12:40;21:55;
25/12/2019;Others;21:55;01:25;
25/12/2019;Actv13;01:25;01:40;
25/12/2019;Others;01:40;02:00;
25/12/2019;Actv5 + Others;02:00;02:22;
25/12/2019;Actv5;02:22;03:25;
25/12/2019;;03:25;03:50;
26/12/2019;Others;12:50;13:45;
26/12/2019;Actv12;13:45;14:05;
26/12/2019;Actv4;14:05;14:25;
26/12/2019;Actv17;14:25;15:45;
26/12/2019;Actv12;15:45;16:20;
26/12/2019;Actv11 + Others;16:20;17:00;
26/12/2019;Others;17:00;18:05;
26/12/2019;Actv16;18:05;18:50;
26/12/2019;Actv8;18:50;19:05;
26/12/2019;Others;19:05;20:15;
26/12/2019;Actv13;20:15;20:30;
26/12/2019;Actv1;20:30;21:40;
26/12/2019;Others;21:40;22:30;
26/12/2019;Actv1;22:30;22:40;
26/12/2019;Actv15;22:40;23:05;
26/12/2019;Actv10;23:05;23:57;
26/12/2019;Actv17;23:57;00:50;
26/12/2019;Others;00:50;01:15;
26/12/2019;Actv1;01:15;01:35;
26/12/2019;Actv5;01:35;02:05;
27/12/2019;Actv14;12:35;12:40;
27/12/2019;Actv11;12:40;13:20;
27/12/2019;Actv17;13:20;14:20;
27/12/2019;Actv10;14:20;15:10;
27/12/2019;Actv4;15:10;15:30;
27/12/2019;Actv17;15:30;15:45;
27/12/2019;Actv8;15:45;16:00;
27/12/2019;Actv13;16:00;17:00;
27/12/2019;Actv10;17:00;17:45;
27/12/2019;Others;17:45;18:40;
27/12/2019;Actv13;18:40;18:55;
27/12/2019;Actv17;18:55;20:10;
27/12/2019;Actv4;20:10;20:20;
27/12/2019;Actv2;20:20;21:30;
27/12/2019;Actv15;21:30;22:25;
27/12/2019;Actv10;22:25;23:15;
27/12/2019;Actv17;23:15;23:40;
27/12/2019;Actv13;23:40;23:50;
27/12/2019;Actv5;23:50;00:45;
27/12/2019;Actv1;00:45;01:20;
27/12/2019;Actv2;01:20;02:40;
28/12/2019;Others;11:50;12:45;
28/12/2019;Actv17;12:45;14:10;
28/12/2019;Others;14:10;14:30;
28/12/2019;Actv7;14:30;15:15;
28/12/2019;Actv11 + Others;15:15;16:00;
28/12/2019;Others;16:00;17:40;
28/12/2019;Others;17:40;18:00;
28/12/2019;Actv12;18:00;18:15;
28/12/2019;Actv10;18:15;18:50;
28/12/2019;Actv1;18:50;19:10;
28/12/2019;Others;19:10;19:25;
28/12/2019;Actv1;19:25;19:40;
28/12/2019;Actv16;19:40;20:10;
28/12/2019;Actv4;20:10;20:15;
28/12/2019;Actv12;20:15;20:30;
28/12/2019;Others;20:30;20:38;
28/12/2019;Others + Actv2;20:38;21:00;
28/12/2019;Actv2;21:00;21:37;
28/12/2019;Actv4;21:37;21:50;
28/12/2019;Actv13;21:50;21:55;
28/12/2019;Actv15;21:55;22:25;
28/12/2019;Actv2;22:25;23:40;
28/12/2019;Actv5 + Actv2;23:40;00:30;
28/12/2019;Actv2;00:30;01:40;
28/12/2019;Actv13;01:40;03:00;
29/12/2019;Actv14;10:00;10:05;
29/12/2019;Others;10:05;10:40;
29/12/2019;Others + Actv1;10:40;11:00;
29/12/2019;Actv5;11:00;11:15;
29/12/2019;Actv7;11:15;12:30;
29/12/2019;Actv8;12:30;12:50;
29/12/2019;Actv4;12:50;14:15;
29/12/2019;Actv4;14:15;14:30;
29/12/2019;Actv7;14:30;15:10;
29/12/2019;Actv11;15:10;15:48;
29/12/2019;Actv7;15:48;17:38;
29/12/2019;Actv2;17:38;19:30;
29/12/2019;Actv4;19:30;19:50;
29/12/2019;Actv13;19:50;20:00;
29/12/2019;Actv10;20:00;20:40;
29/12/2019;Actv7;20:40;21:38;
29/12/2019;Actv12;21:38;21:45;
29/12/2019;Actv2;21:45;22:15;
29/12/2019;Actv1;22:15;23:25;
29/12/2019;Actv15;23:25;23:45;
29/12/2019;Actv10;23:45;00:30;
29/12/2019;Actv10;00:30;01:00;
29/12/2019;Actv7;01:00;01:35;
29/12/2019;Actv13 + Actv7;01:35;02:00;
29/12/2019;Actv2;02:00;02:35;
29/12/2019;;02:35;03:05;
29/12/2019;Actv13 + Actv7;03:05;03:15;
30/12/2019;Actv14 + Actv1;12:20;12:50;
30/12/2019;Others;12:50;13:10;
30/12/2019;Others + Actv1;13:10;13:30;
30/12/2019;Actv5;13:30;14:10;
30/12/2019;Actv13;14:10;14:35;
30/12/2019;Actv4;14:35;14:43;
30/12/2019;Actv16;14:43;15:15;
30/12/2019;Actv16;15:15;15:40;
30/12/2019;Actv11;15:40;16:20;
30/12/2019;Actv16;16:20;16:40;
30/12/2019;Actv1;16:40;17:00;
30/12/2019;Actv16;17:00;17:20;
30/12/2019;Actv13 + Others;17:20;17:45;
30/12/2019;Actv13 Actv7;17:45;18:30;
30/12/2019;Actv12;18:30;18:40;
30/12/2019;Actv16;18:40;19:00;
30/12/2019;Actv16;19:00;19:25;
30/12/2019;Others + Actv4;19:25;19:40;
30/12/2019;Actv1;19:40;20:00;
30/12/2019;Actv12;20:00;20:15;
30/12/2019;Others;20:15;20:55;
30/12/2019;Actv12;20:55;21:40;
30/12/2019;Actv7 + Others;21:40;23:10;
30/12/2019;Actv10 + Others;23:10;00:30;
30/12/2019;Others;00:30;01:00;
30/12/2019;Actv13;01:00;01:30;
30/12/2019;Others;01:30;02:00;
31/12/2019;Others;11:20;11:40;
31/12/2019;Actv4;11:40;12:15;
31/12/2019;Others + Actv2;12:15;12:50;
31/12/2019;Actv16;12:50;13:00;
31/12/2019;Actv16;13:00;13:25;
31/12/2019;Actv13;13:25;14:00;
31/12/2019;Actv16;14:00;14:30;
31/12/2019;Actv11;14:30;15:00;
31/12/2019;Actv2;15:00;15:30;
31/12/2019;Actv16;15:30;17:00;
31/12/2019;Others;17:00;18:30;
31/12/2019;Actv1;18:30;19:05;
31/12/2019;Actv8;19:05;19:15;
31/12/2019;Correr;19:15;20:05;
31/12/2019;Actv1;20:05;20:20;
31/12/2019;Others + Others;20:20;20:50;
31/12/2019;Others;20:50;21:40;
31/12/2019;Actv5;21:40;21:50;
31/12/2019;Actv4;21:50;22:20;
31/12/2019;Others + Actv15 + Others;22:20;00:55;
31/12/2019;Actv10;00:55;01:30;
31/12/2019;;01:30;01:45;
31/12/2019;Actv2;01:45;03:10;
1/1/2020;Actv5;11:30;11:40;
1/1/2020;Actv4;11:40;12:05;
1/1/2020;Others;12:05;12:15;
1/1/2020;Others + Actv2;12:15;13:00;
1/1/2020;Others;13:00;13:10;
1/1/2020;Actv2;13:10;13:22;
1/1/2020;Actv16;13:22;14:25;
1/1/2020;Actv11;14:25;15:00;
1/1/2020;Actv4;15:00;15:10;
1/1/2020;Actv4;15:10;15:35;
1/1/2020;Actv16;15:35;16:00;
1/1/2020;Actv2;16:00;16:20;
1/1/2020;Actv12;16:20;16:30;
1/1/2020;Actv4;16:30;16:50;
1/1/2020;Others;16:50;19:15;
1/1/2020;Actv16;19:15;20:00;
1/1/2020;Actv2;20:00;21:05;
1/1/2020;Actv12;21:05;21:20;
1/1/2020;Actv13;21:20;21:40;
1/1/2020;Actv15;21:40;22:10;
1/1/2020;Others;22:10;23:50;
1/1/2020;Actv5;23:50;00:30;
1/1/2020;Actv17;00:30;01:40;
1/1/2020;Actv13;01:40;01:45;
1/1/2020;Actv17;01:45;02:00;
2/1/2020;Others + Actv20;11:40;12:25;
2/1/2020;Actv16;12:25;13:40;
2/1/2020;Actv4;13:40;13:50;
2/1/2020;Actv17;13:50;15:20;
2/1/2020;Actv12;15:20;15:30;
2/1/2020;Actv1;15:30;16:10;
2/1/2020;Actv12;16:10;16:20;
2/1/2020;Actv2;16:20;17:00;
2/1/2020;Actv11;17:00;17:35;
2/1/2020;Actv8;17:35;17:50;
2/1/2020;Actv20;17:50;19:55;
2/1/2020;Others;19:55;20:05;
2/1/2020;Actv2;20:05;21:20;
2/1/2020;Actv7;21:20;22:15;
2/1/2020;Actv12;22:15;22:20;
2/1/2020;Others;22:20;23:20;
2/1/2020;Actv17;23:20;00:00;
2/1/2020;Actv15 + Actv2;00:00;01:20;
2/1/2020;Actv2;01:20;02:25;
2/1/2020;Actv5;02:25;03:20;
2/1/2020;;03:20;03:45;
3/1/2020;Actv14;11:05;11:20;
3/1/2020;Others;11:20;11:55;
3/1/2020;Actv8;11:55;12:05;
3/1/2020;Actv20;12:05;14:05;
3/1/2020;Actv4;14:05;14:10;
3/1/2020;Actv4;14:10;14:25;
3/1/2020;Others;14:25;15:00;
3/1/2020;Actv1;15:00;15:20;
3/1/2020;Actv11 + Others;15:20;16:00;
3/1/2020;Others;16:00;17:00;
3/1/2020;Actv16;17:00;18:45;
3/1/2020;Actv1;18:45;19:00;
3/1/2020;Actv7;19:00;20:15;
3/1/2020;Others;20:15;20:30;
3/1/2020;Others + Actv2;20:30;21:30;
3/1/2020;Actv16;21:30;21:55;
3/1/2020;Actv12;21:55;22:00;
3/1/2020;Actv2;22:00;22:25;
3/1/2020;Actv4;22:25;22:30;
3/1/2020;Actv2;22:30;23:10;
3/1/2020;Actv15;23:10;23:55;
3/1/2020;Others + Others;23:55;00:30;
3/1/2020;Actv1;00:30;01:00;
4/1/2020;Actv8;08:00;08:20;
4/1/2020;Others;08:20;08:55;
4/1/2020;Actv6;08:55;10:40;
4/1/2020;Actv13;10:40;11:00;
4/1/2020;Actv6;11:00;12:40;
4/1/2020;Actv13;12:40;12:50;
4/1/2020;Activ11;12:50;13:00;
4/1/2020;Actv11 + Actv2;13:00;13:20;
4/1/2020;Actv2;13:20;13:30;
4/1/2020;Others;13:30;14:15;
4/1/2020;Actv1;14:15;14:40;
4/1/2020;;14:40;14:57;
4/1/2020;Others;14:57;15:15;
4/1/2020;Actv13 Actv7;15:15;15:30;
4/1/2020;Actv5;15:30;15:55;
4/1/2020;Actv11;15:55;16:15;
4/1/2020;Actv4;16:15;16:30;
4/1/2020;Actv16;16:30;17:15;
4/1/2020;Actv16;17:15;17:45;
4/1/2020;Actv1;17:45;19:00;
4/1/2020;Others;19:00;19:15;
4/1/2020;Others;19:15;20:10;
4/1/2020;Actv7;20:10;20:50;
4/1/2020;Actv4;20:50;21:00;
4/1/2020;Others;21:00;21:10;
4/1/2020;Others;21:10;21:40;
4/1/2020;Actv2;21:40;22:30;
4/1/2020;Actv7;22:30;23:00;
4/1/2020;Actv15;23:00;00:05;
4/1/2020;Actv2;00:05;00:35;
4/1/2020;Actv1;00:35;00:40;
4/1/2020;Others;00:40;01:25;
